city,date,min-temp,max-temp,condition
Vilnius,2023-02-01,-3.6,0.8,Moderate snow
Vilnius,2023-02-02,-2.1,0.5,Light freezing rain
Vilnius,2023-02-03,-6.2,-1.0,Overcast
Vilnius,2023-02-04,-6.8,-2.8,Light freezing rain
Vilnius,2023-02-05,-7.5,-4.7,Overcast
Vilnius,2023-02-06,-8.8,-1.9,Light freezing rain
Vilnius,2023-02-07,-4.5,-1.7,Light freezing rain
Vilnius,2023-02-08,-6.2,0.5,Sunny
Vilnius,2023-02-09,-3.4,0.0,Overcast
Vilnius,2023-02-10,-2.8,2.0,Light freezing rain
Vilnius,2023-02-11,-1.9,2.3,Patchy moderate snow
Vilnius,2023-02-12,-6.3,0.3,Sunny
Vilnius,2023-02-13,-1.1,2.4,Overcast
Vilnius,2023-02-14,-2.2,2.9,Partly cloudy
Vilnius,2023-02-15,-3.9,3.1,Overcast
Vilnius,2023-02-16,-0.2,2.3,Light freezing rain
Vilnius,2023-02-17,-0.7,2.7,Patchy rain possible
Vilnius,2023-02-18,1.2,4.5,Moderate rain at times
Vilnius,2023-02-19,-1.6,2.6,Patchy rain possible
Vilnius,2023-02-20,-1.8,3.9,Moderate snow
Vilnius,2023-02-21,-2.4,2.6,Light freezing rain
Vilnius,2023-02-22,-8.0,-1.7,Light freezing rain
Vilnius,2023-02-23,-10.2,-0.3,Overcast
Vilnius,2023-02-24,-1.0,1.2,Patchy moderate snow
Vilnius,2023-02-25,-1.9,0.7,Light freezing rain
Vilnius,2023-02-26,-5.7,-1.0,Overcast
Vilnius,2023-02-27,-6.3,-0.5,Cloudy
Vilnius,2023-02-28,-6.0,2.7,Overcast
Vilnius,2023-03-01,-1.5,1.8,Light snow
Vilnius,2023-03-02,-1.6,2.9,Mist
Vilnius,2023-03-03,-0.9,4.1,Overcast
Vilnius,2023-03-04,-3.4,1.2,Moderate or heavy snow showers
Vilnius,2023-03-05,-3.7,1.4,Moderate or heavy snow showers
Vilnius,2023-03-06,-4.7,1.7,Moderate or heavy snow showers
Vilnius,2023-03-07,-6.3,1.8,Mist
Vilnius,2023-03-08,-2.8,1.0,Light snow showers
Vilnius,2023-03-09,-4.0,0.5,Overcast
Vilnius,2023-03-10,-4.4,2.3,Heavy snow
Vilnius,2023-03-11,-1.4,4.4,Light snow
Vilnius,2023-03-12,-3.1,0.1,Moderate or heavy snow showers
Vilnius,2023-03-13,-4.0,2.0,Light snow showers
Vilnius,2023-03-14,4.6,8.1,Overcast
Vilnius,2023-03-15,0.9,5.5,Heavy snow
Vilnius,2023-03-16,-0.7,5.4,Light snow showers
Vilnius,2023-03-17,-1.0,5.6,Overcast
Vilnius,2023-03-18,0.7,6.8,Overcast
Vilnius,2023-03-19,1.2,9.5,Overcast
Vilnius,2023-03-20,2.9,9.2,Overcast
Vilnius,2023-03-21,4.1,8.1,Light rain shower
Vilnius,2023-03-22,1.4,11.8,Overcast
Vilnius,2023-03-23,5.5,13.1,Light rain shower
Vilnius,2023-03-24,6.2,13.0,Light rain shower
Vilnius,2023-03-25,5.7,11.9,Patchy rain possible
Vilnius,2023-03-26,3.9,9.2,Light rain shower
Vilnius,2023-03-27,-1.4,3.8,Moderate snow
Vilnius,2023-03-28,-3.0,1.0,Moderate or heavy snow showers
Vilnius,2023-03-29,-3.2,6.8,Moderate or heavy snow showers
Vilnius,2023-03-30,-1.7,4.9,Heavy snow
Vilnius,2023-03-31,4.5,8.4,Light rain shower
Vilnius,2023-01-01,7.5,10.7,Patchy rain possible
Vilnius,2023-01-02,5.8,8.4,Moderate or heavy rain shower
Vilnius,2023-01-03,2.4,8.4,Patchy rain possible
Vilnius,2023-01-04,0.5,2.4,Patchy rain possible
Vilnius,2023-01-05,-5.9,5.4,Light freezing rain
Vilnius,2023-01-06,-12.8,-7.1,Partly cloudy
Vilnius,2023-01-07,-12.0,-5.5,Light freezing rain
Vilnius,2023-01-08,-5.3,-1.9,Overcast
Vilnius,2023-01-09,-3.8,1.6,Light freezing rain
Vilnius,2023-01-10,-1.0,1.1,Patchy moderate snow
Vilnius,2023-01-11,-2.3,-0.5,Overcast
Vilnius,2023-01-12,-3.0,1.3,Light freezing rain
Vilnius,2023-01-13,2.0,3.8,Patchy rain possible
Vilnius,2023-01-14,1.6,4.1,Overcast
Vilnius,2023-01-15,1.6,3.5,Heavy rain at times
Vilnius,2023-01-16,0.1,3.4,Overcast
Vilnius,2023-01-17,0.4,3.7,Light freezing rain
Vilnius,2023-01-18,2.1,6.1,Heavy rain at times
Vilnius,2023-01-19,-0.2,5.1,Patchy rain possible
Vilnius,2023-01-20,-1.3,1.4,Light freezing rain
Vilnius,2023-01-21,-0.2,1.8,Light freezing rain
Vilnius,2023-01-22,-2.8,0.7,Overcast
Vilnius,2023-01-23,-2.4,0.0,Overcast
Vilnius,2023-01-24,-2.9,0.1,Overcast
Vilnius,2023-01-25,-3.7,0.7,Light freezing rain
Vilnius,2023-01-26,-3.5,0.8,Light freezing rain
Vilnius,2023-01-27,-1.4,0.3,Light freezing rain
Vilnius,2023-01-28,-4.1,-0.3,Overcast
Vilnius,2023-01-29,-5.5,-0.2,Light freezing rain
Vilnius,2023-01-30,-0.6,0.7,Patchy moderate snow
Vilnius,2023-01-31,-3.4,0.7,Light freezing rain
Vilnius,2023-06-01,7.1,21.7,Cloudy
Vilnius,2023-06-02,4.4,14.8,Patchy rain possible
Vilnius,2023-06-03,2.0,15.0,Patchy rain possible
Vilnius,2023-06-04,4.4,17.6,Patchy rain possible
Vilnius,2023-06-05,6.4,20.6,Cloudy
Vilnius,2023-06-06,7.7,22.9,Sunny
Vilnius,2023-06-07,10.4,25.2,Partly cloudy
Vilnius,2023-06-08,11.0,25.1,Partly cloudy
Vilnius,2023-04-01,0.0,8.2,Light rain
Vilnius,2023-04-02,-1.8,4.5,Light snow showers
Vilnius,2023-04-03,-3.4,1.1,Moderate or heavy snow showers
Vilnius,2023-04-04,-3.2,3.3,Light snow showers
Vilnius,2023-04-05,-2.2,4.6,Freezing fog
Vilnius,2023-04-06,0.3,10.5,Overcast
Vilnius,2023-04-07,4.5,8.5,Overcast
Vilnius,2023-04-08,5.8,14.0,Patchy rain possible
Vilnius,2023-04-09,6.7,13.6,Light drizzle
